age,income,debt_to_income,credit_history_months,num_open_accounts,num_delinquencies,utilization,default
30,209677,0.2038,61,5,1,0.2625,0
49,116054,0.5558,26,5,2,0.6306,1
40,117172,0.0478,129,7,1,0.3388,0
40,54422,0.2138,124,5,0,0.3359,0
30,93361,0.5815,78,1,1,0.0765,0
36,66971,0.2983,118,1,1,0.5072,1
44,99696,0.1631,60,9,1,0.2266,1
21,94506,0.1779,86,4,0,0.0879,1
59,74022,0.646,68,5,2,0.1081,0
30,61351,0.5763,114,4,0,0.2616,1
49,54921,0.1704,69,5,1,0.3568,0
61,76254,0.3194,74,4,0,0.413,0
52,151079,0.3367,110,5,0,0.0307,0
31,89654,0.3735,121,8,0,0.52,1
65,51640,0.1002,34,4,2,0.1917,1
42,58090,0.4285,59,5,0,0.5406,0
50,61468,0.3578,41,6,0,0.3312,1
37,51308,0.2201,98,3,1,0.3524,0
28,65151,0.2468,126,2,0,0.7009,0
28,50656,0.4675,134,5,0,0.2362,0
54,86256,0.2109,44,4,0,0.5396,1
58,77024,0.6095,10,6,0,0.2906,0
47,156325,0.3801,88,3,2,0.2628,0
22,66272,0.1368,75,4,0,0.5585,0
34,76501,0.2569,51,6,1,0.3425,0
53,30791,0.5067,73,3,1,0.1102,0
40,37634,0.295,101,5,0,0.1049,0
28,76773,0.0984,66,5,1,0.6962,1
49,88340,0.1008,92,10,0,0.4743,0
27,89423,0.2136,77,8,1,0.3421,0
34,74850,0.5918,131,1,1,0.2261,0
49,189732,0.1997,73,5,1,0.1406,0
41,58007,0.3458,62,6,0,0.2462,1
42,95631,0.4467,59,2,0,0.4847,0
45,90267,0.5281,109,2,1,0.2564,1
31,56946,0.1514,87,5,0,0.65,0
46,109344,0.1481,56,6,0,0.1764,0
39,88399,0.2638,144,4,0,0.4655,0
31,92912,0.7955,57,3,1,0.29,1
23,52962,0.3165,140,8,1,0.7008,0
49,65015,0.2745,25,7,1,0.631,0
24,44367,0.0939,74,2,0,0.1683,0
50,59574,0.4307,108,3,2,0.3931,0
31,71076,0.1763,91,4,0,0.1429,0
43,60488,0.0741,3,2,1,0.4792,1
41,90276,0.5224,64,6,2,0.7386,1
36,78500,0.3178,72,4,0,0.3277,0
28,100289,0.7313,115,6,0,0.5383,0
51,95549,0.8414,114,3,0,0.3023,0
36,39880,0.1947,105,3,1,0.1346,0
53,35971,0.1204,92,1,1,0.1382,0
30,71219,0.3984,61,3,0,0.2132,1
43,170015,0.2936,118,2,2,0.0059,0
22,36943,0.4582,5,7,1,0.2928,1
55,102432,0.2055,76,4,0,0.4241,0
37,42622,0.1517,64,4,0,0.3105,1
29,51836,0.7106,101,0,0,0.04,0
34,30000,0.3213,31,6,0,0.7026,0
21,182752,0.188,59,2,0,0.0745,0
43,90621,0.8181,41,4,0,0.3638,1
27,63197,0.101,134,8,1,0.2863,0
49,155231,0.1885,114,3,2,0.2917,0
32,31547,0.2772,96,6,0,0.3191,0
42,81110,0.3197,158,7,0,0.4977,0
33,101401,0.5132,84,2,0,0.2109,0
29,57424,0.306,108,3,0,0.4012,0
21,111105,0.2453,134,6,0,0.2183,0
43,133066,0.6076,121,4,0,0.4202,0
37,85899,0.2599,101,4,0,0.0712,0
30,92763,0.7868,63,8,0,0.0911,0
46,162822,0.0052,92,2,0,0.4984,0
35,50115,0.767,124,5,1,0.4488,1
63,86064,0.1788,196,3,1,0.1715,0
33,36159,0.2768,62,2,0,0.5511,0
35,237450,0.2362,97,5,0,0.1579,0
40,32373,0.4904,125,0,0,0.2679,1
32,61819,0.0945,184,4,0,0.5176,0
38,77715,0.3866,99,4,0,0.2094,0
52,78714,0.6195,126,5,0,0.2064,0
46,70499,0.4518,93,6,1,0.5033,0
24,86873,0.2697,112,1,1,0.7023,1
21,81601,0.5171,173,5,0,0.1743,0
21,67551,0.8159,104,3,0,0.2486,1
37,136096,0.2605,114,1,0,0.1985,0
45,113401,0.5255,127,4,0,0.1051,0
49,78272,0.1222,115,8,1,0.3753,0
43,49548,0.3595,130,1,0,0.4937,1
32,163087,0.4858,55,2,1,0.7358,1
41,85024,0.6041,167,3,0,0.0221,0
39,40788,0.0844,110,4,0,0.6169,0
24,47386,0.2151,116,3,0,0.5171,0
21,61166,0.1237,65,6,0,0.3337,0
36,30000,0.1178,86,4,0,0.3816,1
31,93579,0.3107,5,2,1,0.393,1
33,68258,0.7343,106,2,0,0.2687,0
39,76502,0.2139,68,8,0,0.1638,1
49,53197,0.2127,113,3,1,0.2623,0
59,54536,0.4385,91,5,0,0.3809,0
29,93047,0.1525,56,7,1,0.5997,0
43,67297,0.4307,126,2,1,0.4527,0
45,142331,0.5882,80,7,0,0.4335,1
30,72156,0.4228,102,5,1,0.0813,0
40,55580,0.34,63,4,0,0.3665,0
49,183612,0.275,119,3,1,0.2323,0
35,50364,0.1664,84,4,1,0.5122,0
44,32439,0.3522,96,3,0,0.1975,0
24,49073,0.4297,112,3,2,0.125,0
53,60236,0.7477,100,5,0,0.5714,0
48,74096,0.1081,137,6,0,0.5213,0
35,69294,0.2917,34,3,0,0.4239,0
31,69310,0.6542,0,5,0,0.0851,1
42,82976,0.4476,11,4,0,0.3143,0
54,44033,0.1957,43,2,0,0.4761,0
49,213103,0.5147,58,6,1,0.1791,0
55,59537,0.1778,137,6,0,0.0752,0
45,101013,0.2835,90,5,1,0.3293,0
21,72968,0.2078,78,6,0,0.0599,0
54,68021,0.1457,19,3,1,0.1287,0
46,179746,0.4475,69,9,0,0.5682,0
29,138888,0.1621,72,3,0,0.8378,0
38,61761,0.1215,190,1,0,0.5257,0
43,111059,0.2596,136,6,0,0.2617,0
30,75469,0.5582,29,4,2,0.1644,1
36,37248,0.662,39,6,0,0.2392,1
43,190028,0.4119,53,7,2,0.7437,1
46,57473,0.3206,34,1,1,0.4584,1
21,64651,0.2464,69,4,1,0.3057,1
47,155615,0.6258,87,3,2,0.4244,1
35,120907,0.1221,50,3,1,0.2885,0
23,30289,0.514,78,3,1,0.1658,1
45,96641,0.3476,142,3,1,0.2976,1
33,251961,0.5464,63,4,1,0.4112,0
34,110815,0.1545,105,7,1,0.2788,0
60,88358,0.2017,0,11,0,0.5813,0
27,44525,0.6828,144,6,0,0.4934,0
34,115355,0.1098,113,1,0,0.338,0
21,105281,0.5127,104,2,1,0.3063,0
36,92644,0.2811,134,5,1,0.4245,0
32,31134,0.3257,112,2,1,0.6387,0
30,45221,0.1823,8,5,0,0.2807,1
32,102424,0.4219,86,3,0,0.7345,1
25,68358,0.2351,98,7,0,0.5696,0
27,58885,0.4466,98,4,1,0.3548,1
29,57169,0.3888,81,3,0,0.6716,1
44,208128,0.1961,29,4,1,0.3854,1
27,45895,0.4217,0,7,0,0.2234,0
43,211120,0.1622,56,3,2,0.3563,0
40,94554,0.1879,104,4,1,0.5633,0
38,41390,0.6866,34,4,0,0.0956,1
40,39844,0.2493,107,1,0,0.2077,0
22,64182,0.2345,60,7,0,0.3001,0
21,115939,0.2235,107,5,0,0.126,0
42,120944,0.2934,83,2,3,0.2085,1
39,92631,0.5151,88,2,1,0.1809,0
34,142126,0.6556,34,4,1,0.7484,1
45,30000,0.224,51,5,0,0.1778,1
31,80107,0.3444,48,3,1,0.2054,1
32,56212,0.1064,90,4,2,0.1092,0
36,33170,0.1961,75,3,1,0.2652,0
55,88481,0.1192,64,3,1,0.525,0
41,37472,0.6292,136,3,0,0.3868,0
27,70408,0.0633,69,3,0,0.5141,1
48,40903,0.0925,108,5,0,0.4074,0
22,90115,0.5521,116,3,0,0.293,0
33,78957,0.0664,51,3,1,0.3776,1
44,87862,0.2896,57,4,0,0.3341,1
58,182214,0.2482,98,6,0,0.3635,0
25,40236,0.4864,46,2,1,0.3841,0
32,54444,0.4856,34,4,0,0.0283,1
64,159650,0.2154,54,4,0,0.5987,0
31,54163,0.2038,63,7,0,0.3417,0
32,70334,0.255,105,2,0,0.4538,0
32,245727,0.5169,89,6,0,0.2373,0
22,56069,0.3894,138,4,0,0.2394,0
55,98886,0.0654,98,2,0,0.1835,0
54,82834,0.5744,125,3,0,0.4273,0
52,95772,0.2346,93,3,1,0.2779,0
36,37600,0.1448,116,11,0,0.3444,0
43,72662,0.1517,53,3,1,0.3888,1
31,36734,0.3353,39,6,0,0.3608,1
43,71373,0.1333,20,5,0,0.0942,0
37,77601,0.4376,97,7,0,0.7549,0
45,190504,0.5934,145,0,1,0.0733,0
33,48039,0.2275,119,4,0,0.1805,0
40,168203,0.0785,31,3,1,0.5329,0
40,66540,0.1719,46,3,0,0.1897,0
30,30000,0.8154,69,5,2,0.1965,1
33,73112,0.486,89,2,0,0.3321,0
47,104309,0.1731,58,4,0,0.4159,0
31,129824,0.2991,0,3,0,0.3648,1
37,48126,0.2242,99,5,1,0.168,0
39,55954,0.3446,79,3,1,0.7695,1
33,47736,0.6833,94,7,0,0.4694,0
37,115236,0.5351,107,3,1,0.4077,1
49,72478,0.1116,107,0,0,0.0621,1
44,103699,0.3292,60,3,2,0.0894,0
44,39508,0.324,116,4,0,0.1781,1
29,62394,0.4716,103,2,0,0.5446,1
27,139378,0.3016,45,4,1,0.5087,1
37,198888,0.3954,114,2,0,0.598,0
35,86584,0.1116,79,6,0,0.1035,1
37,58278,0.1068,87,8,0,0.2943,0
40,59774,0.5129,122,2,2,0.5398,0
24,62531,0.5756,54,3,2,0.5521,1
41,171677,0.4524,35,5,0,0.1302,0
52,160852,0.1571,77,4,1,0.7133,0
47,84855,0.1416,110,3,2,0.4378,0
31,148343,0.174,0,4,1,0.1181,0
23,109452,0.3785,106,2,0,0.1975,1
29,129059,0.3095,69,1,1,0.3345,0
35,111856,0.5337,31,3,2,0.5811,1
21,77066,0.6437,91,1,1,0.2444,1
43,107067,0.2247,83,7,2,0.1127,0
51,92027,0.233,56,4,1,0.7249,0
33,64045,0.1102,189,2,0,0.6365,1
32,119752,0.2816,55,3,1,0.4324,0
53,56573,0.2516,92,4,0,0.3016,0
28,44494,0.204,85,4,1,0.2469,0
44,64978,0.2142,120,4,0,0.5817,0
47,30000,0.0503,90,4,1,0.2412,1
59,79502,0.0727,87,2,0,0.2966,0
42,139925,0.1398,94,8,0,0.3872,0
36,41548,0.1696,22,5,1,0.05,0
45,95650,0.4234,3,7,0,0.4334,0
51,56740,0.7463,62,4,0,0.4096,1
37,195359,0.4282,46,3,2,0.0712,0
36,167082,0.7374,59,0,1,0.4033,0
50,77758,0.2894,87,3,1,0.7687,1
21,112021,0.1163,28,3,2,0.4537,1
28,51242,0.2492,47,4,1,0.4966,1
54,77012,0.1812,115,4,1,0.1296,1
21,104028,0.2184,36,7,0,0.1304,0
35,97723,0.0836,62,4,1,0.6524,0
49,103297,0.715,89,3,0,0.5108,0
36,116223,0.0459,109,5,2,0.1714,0
40,52547,0.7489,77,2,0,0.0967,0
21,43685,0.1221,110,2,1,0.4007,1
37,30000,0.238,108,5,3,0.2196,1
36,36042,0.1043,121,4,0,0.2579,0
51,49303,0.5468,52,2,1,0.5251,1
21,88553,0.5453,77,6,2,0.4642,1
47,98861,0.1208,89,2,1,0.405,0
34,128979,0.431,155,1,2,0.5463,0
45,61587,0.3093,91,3,0,0.421,0
34,36964,0.1815,91,2,0,0.3435,0
62,87519,0.3449,89,5,2,0.5301,0
52,81404,0.3493,111,0,0,0.5504,0
60,42945,0.0389,105,6,0,0.7756,0
31,106251,0.4738,95,3,1,0.171,0
30,63327,0.4733,117,5,1,0.1153,0
44,133469,0.2709,116,7,0,0.0741,0
53,101296,0.3694,107,5,3,0.3163,0
21,182577,0.2043,52,8,0,0.3636,0
22,83379,0.0398,130,10,0,0.0944,0
59,134300,0.351,132,2,1,0.5609,0
39,208308,0.7261,50,8,0,0.2099,0
32,35856,0.451,99,5,0,0.2093,1
60,30000,0.3988,49,4,0,0.6285,1
44,75467,0.5341,102,6,0,0.289,0
33,78559,0.3229,76,3,1,0.33,1
54,53338,0.4368,37,3,1,0.0914,1
39,51593,0.7313,56,1,0,0.4586,0
40,64412,0.23,25,1,0,0.1008,0
21,57150,0.3668,157,5,1,0.5188,0
34,37771,0.1958,90,6,1,0.4581,0
57,114493,0.3242,102,3,0,0.644,0
27,48667,0.1704,85,5,0,0.2047,0
21,46941,0.1923,33,2,2,0.3241,1
51,61137,0.4437,109,4,0,0.2121,0
21,106425,0.2552,105,1,1,0.1578,0
38,89502,0.4028,8,3,1,0.523,0
43,78020,0.5353,12,5,0,0.2188,0
39,92797,0.41,101,1,1,0.5099,0
46,77406,0.2276,46,5,1,0.536,1
35,88266,0.6885,107,5,1,0.659,0
44,30000,0.245,39,2,0,0.2034,0
33,81821,0.5389,68,4,1,0.6573,0
29,61926,0.5374,113,3,0,0.053,0
39,72855,0.4929,139,7,1,0.0785,0
34,75388,0.145,34,5,1,0.0752,0
43,68162,0.4975,86,5,1,0.201,1
42,61171,0.4053,82,2,0,0.2484,1
32,62873,0.1833,63,3,0,0.5179,0
49,65142,0.5505,79,1,2,0.297,1
57,97071,0.094,123,6,0,0.3059,0
43,76666,0.4163,108,5,0,0.2913,0
41,51830,0.3301,42,10,1,0.6071,1
27,95545,0.1381,115,2,0,0.2323,0
32,76074,0.6416,99,3,0,0.734,0
21,90443,0.1902,45,3,3,0.4946,1
51,143530,0.1309,35,4,0,0.2155,0
33,123431,0.358,151,2,2,0.4016,0
43,39879,0.2651,57,8,0,0.379,0
27,88077,0.1217,91,3,1,0.5036,0
61,30000,0.201,113,4,0,0.5611,0
47,30000,0.0956,21,1,0,0.4435,1
31,77086,0.1966,88,9,0,0.574,0
38,34289,0.4988,43,7,0,0.0346,1
28,93934,0.0966,96,4,0,0.234,0
33,144564,0.3992,0,3,1,0.0109,1
33,54504,0.4384,27,4,1,0.1599,1
34,166147,0.8481,73,4,0,0.1368,1
27,57868,0.1929,58,7,1,0.4395,0
28,144816,0.4213,139,2,0,0.2634,0
39,81947,0.2517,0,1,1,0.2121,0
35,87452,0.083,46,7,0,0.3102,0
55,77684,0.2122,94,2,1,0.3256,1
41,57660,0.363,110,3,0,0.3083,0
21,100072,0.1149,139,3,0,0.2924,0
45,107981,0.4153,120,3,3,0.5983,1
41,87320,0.5365,0,7,1,0.7358,1
45,36162,0.3119,47,4,1,0.0694,0
29,106792,0.292,106,1,1,0.4412,1
29,37190,0.2563,86,4,0,0.1199,1
38,131828,0.3666,97,5,1,0.5864,0
70,51548,0.5323,101,4,0,0.3375,0
42,80328,0.4468,95,4,0,0.3513,0
43,35827,0.191,125,1,0,0.292,0
29,60168,0.3572,92,3,0,0.0598,0
29,37978,0.1192,8,5,0,0.0845,0
29,32783,0.3914,81,4,0,0.1851,1
31,48759,0.1128,91,6,1,0.6202,1
55,154885,0.4183,117,5,0,0.2818,0
41,107748,0.1969,121,3,1,0.3799,0
28,62208,0.2182,112,9,1,0.2234,0
51,53793,0.4202,40,3,0,0.3875,1
23,32379,0.719,29,0,2,0.3259,0
21,86692,0.3186,61,5,2,0.1826,0
24,140299,0.3105,75,4,0,0.2006,0
32,42550,0.7496,84,3,1,0.542,1
50,99676,0.1612,100,5,0,0.0944,0
48,41342,0.1471,91,3,0,0.4303,0
51,36934,0.4182,40,3,1,0.3926,0
31,104186,0.3796,63,4,1,0.2409,1
22,118480,0.6523,122,5,1,0.5166,0
21,62921,0.5126,119,4,0,0.6449,0
37,46283,0.3998,104,6,0,0.5043,0
66,51991,0.1436,116,3,2,0.1673,1
63,46768,0.2329,114,5,0,0.3233,0
24,75425,0.7841,81,1,1,0.7195,1
45,153897,0.412,84,2,0,0.7408,0
36,55861,0.1948,105,4,0,0.4809,1
36,66956,0.3111,88,3,0,0.3192,0
34,136306,0.1016,88,1,0,0.3193,0
40,81242,0.1588,80,4,1,0.5163,0
60,47569,0.6213,104,5,1,0.4462,1
47,81509,0.1375,66,7,0,0.2127,0
45,221714,0.0944,76,3,1,0.1321,0
37,137977,0.2931,65,2,0,0.2146,0
35,45208,0.458,91,5,1,0.1962,0
29,118120,0.4832,79,6,0,0.368,0
26,128845,0.1538,96,2,0,0.3211,0
21,30000,0.5384,105,3,1,0.1235,0
22,99965,0.1537,42,4,0,0.2665,0
39,75355,0.4504,135,6,0,0.3629,1
67,270243,0.2219,90,7,1,0.4437,0
36,64100,0.5449,152,5,2,0.1674,0
46,67535,0.0972,66,4,1,0.6827,0
30,71844,0.8754,32,5,1,0.7905,1
39,57671,0.1717,64,4,0,0.3302,1
55,179563,0.2024,51,6,0,0.5483,0
39,91063,0.036,101,5,0,0.2479,0
44,122806,0.1727,0,4,1,0.2528,0
63,145416,0.0893,66,8,0,0.1977,0
54,65509,0.1973,90,7,0,0.3671,0
32,69918,0.3745,112,4,0,0.2228,0
28,89647,0.8263,52,3,1,0.5858,0
62,75660,0.2382,49,2,0,0.453,0
60,133135,0.1617,75,4,0,0.0556,0
41,53704,0.4809,39,5,1,0.0378,0
34,72072,0.3744,46,0,0,0.1752,0
40,188774,0.177,47,3,0,0.0722,0
42,31319,0.4112,79,2,0,0.1813,1
36,85431,0.4011,12,4,1,0.1668,0
37,34525,0.9486,95,4,0,0.3129,1
39,148424,0.5184,69,1,1,0.4421,0
21,172921,0.133,58,4,0,0.6761,0
45,50289,0.0957,122,7,2,0.4804,1
56,154611,0.4771,58,6,0,0.4671,0
41,63153,0.2382,80,0,0,0.3466,0
38,60568,0.2288,112,2,1,0.3992,0
46,51293,0.3443,6,3,0,0.3832,1
60,47576,0.253,119,4,1,0.2262,0
25,30210,0.4234,35,3,0,0.1893,1
37,87011,0.4909,47,5,2,0.4933,0
50,102246,0.147,89,6,0,0.3959,0
49,64032,0.5188,17,4,1,0.62,1
45,43455,0.4355,108,5,0,0.2781,0
52,60230,0.2079,72,5,0,0.3131,0
44,179821,0.3833,116,6,0,0.1888,0
38,39411,0.3969,69,4,0,0.1308,0
46,87636,0.2978,21,4,0,0.4161,0
55,122457,0.2108,27,2,0,0.373,0
52,41058,0.3702,173,5,0,0.4528,0
36,95721,0.3051,120,3,0,0.0181,0
38,40229,0.0837,95,4,0,0.085,1
26,55346,0.3694,79,4,0,0.4115,0
29,65541,0.3128,50,9,1,0.2382,1
38,43447,0.6872,48,2,0,0.4376,1
33,50307,0.494,109,1,0,0.4668,0
36,100446,0.6968,7,5,0,0.555,1
26,111343,0.577,78,5,0,0.7897,0
55,94278,0.2643,107,5,0,0.0925,1
46,85658,0.5618,166,2,0,0.6248,0
28,30000,0.2614,68,0,0,0.2899,1
21,80101,0.2358,147,2,1,0.3391,0
43,94528,0.5023,58,3,1,0.1799,0
21,126507,0.4462,36,6,2,0.4584,0
61,42058,0.1268,114,4,0,0.166,0
34,104008,0.5883,85,9,0,0.0906,0
22,63303,0.5179,110,2,0,0.3216,1
29,62848,0.3528,69,3,0,0.1326,0
30,53122,0.1392,113,4,1,0.0983,0
36,89372,0.236,96,3,0,0.3847,0
37,73153,0.1225,99,4,3,0.0809,0
44,62897,0.3346,45,7,1,0.5171,0
58,80132,0.3641,24,0,0,0.208,0
48,75770,0.24,48,5,0,0.2078,0
24,110868,0.3953,52,4,0,0.1216,0
25,38702,0.6882,106,3,0,0.3328,0
60,42226,0.2887,89,4,0,0.5361,1
32,64867,0.0133,0,2,1,0.6277,0
30,34139,0.3358,16,1,1,0.3344,1
29,95642,0.5172,118,4,1,0.3155,0
30,72603,0.5176,36,6,1,0.2311,0
62,74439,0.479,44,5,4,0.1718,0
48,69998,0.1374,90,2,0,0.8221,0
27,143205,0.4548,103,4,1,0.2538,0
40,134167,0.0396,69,2,0,0.4886,0
34,79641,0.3861,105,3,0,0.3027,0
35,54418,0.3897,65,2,0,0.2911,0
51,45526,0.4672,88,8,1,0.6933,1
60,34679,0.6194,21,3,0,0.5431,0
38,81016,0.2462,101,5,0,0.0366,0
46,79281,0.3936,67,4,0,0.0773,0
48,83581,0.0391,52,7,0,0.1181,1
45,88648,0.334,93,5,1,0.3179,0
21,44246,0.2258,38,3,1,0.2489,1
39,60500,0.4108,95,1,0,0.5522,1
31,32035,0.4821,91,3,0,0.5979,0
28,132516,0.311,119,5,0,0.4344,0
40,97337,0.4863,125,6,0,0.1731,0
34,50138,0.4016,32,3,0,0.4747,1
42,33057,0.3234,113,3,0,0.3057,0
21,206269,0.4164,77,4,0,0.52,0
36,70541,0.5615,101,2,0,0.0383,0
31,78564,0.6797,141,3,1,0.325,0
38,52006,0.1757,94,5,0,0.1432,0
38,97409,0.2999,124,5,1,0.2202,0
33,87342,0.5612,70,3,0,0.2661,0
40,67720,0.1969,85,5,1,0.0939,0
54,88820,0.2742,74,3,1,0.6371,0
30,52338,0.3268,65,3,0,0.111,0
30,43486,0.0219,91,6,0,0.1394,0
44,38988,0.181,89,3,0,0.4647,0
44,336904,0.1609,90,4,0,0.4798,0
40,90181,0.4805,68,2,1,0.3125,0
45,57976,0.4204,112,3,1,0.5081,0
21,64455,0.2505,69,6,0,0.4377,0
44,199069,0.2112,138,3,0,0.635,0
43,127771,0.7011,35,2,0,0.2916,1
36,77281,0.2878,85,3,0,0.3254,0
31,37968,0.1167,76,7,0,0.5215,1
22,100012,0.6135,91,4,0,0.0186,1
47,46259,0.1441,29,5,0,0.324,1
37,46492,0.3056,82,5,1,0.3801,1
54,69603,0.3352,140,4,0,0.6682,0
31,192054,0.1969,78,4,0,0.6097,0
25,85366,0.1219,81,4,0,0.4853,0
27,73150,0.3229,28,4,0,0.4778,0
23,57962,0.3832,60,7,1,0.1251,0
32,49966,0.2949,31,3,0,0.3634,0
30,58530,0.3022,139,4,0,0.2057,0
54,79530,0.0755,132,5,1,0.3879,0
45,163265,0.2999,98,6,1,0.5306,0
46,64304,0.2773,21,3,0,0.2858,0
43,57415,0.3325,124,3,0,0.1301,0
36,36645,0.3209,108,4,1,0.1944,1
63,116590,0.3973,143,1,0,0.1441,0
24,64098,0.0269,74,5,1,0.4137,0
41,55590,0.4083,118,8,0,0.3551,0
30,85916,0.3368,23,4,0,0.6304,1
36,42293,0.2659,120,2,1,0.6669,1
31,56710,0.6631,107,4,1,0.6755,0
49,61066,0.2683,126,3,0,0.306,1
29,35856,0.68,55,1,0,0.3345,1
34,98880,0.0554,66,4,2,0.5299,0
46,76034,0.5288,53,3,2,0.3606,0
43,74250,0.247,128,6,0,0.5807,0
41,124304,0.8594,40,4,0,0.3129,0
47,170046,0.1274,74,3,0,0.0809,1
46,52689,0.6884,171,4,0,0.3526,0
34,90801,0.3874,113,5,1,0.7955,1
44,61642,0.3494,106,5,0,0.3438,0
42,169313,0.244,81,3,1,0.3193,0
29,84951,0.3516,143,9,2,0.262,0
65,53427,0.1757,44,5,1,0.7466,1
47,67138,0.3932,120,5,0,0.4092,0
23,30000,0.425,118,3,1,0.411,1
21,45995,0.3271,60,3,1,0.3206,0
37,125541,0.0397,85,5,0,0.4416,0
30,165134,0.7788,108,5,0,0.4762,0
30,51530,0.6062,57,4,0,0.0699,0
28,117174,0.5394,111,2,0,0.3504,0
53,64157,0.2258,63,4,1,0.4219,0
38,150915,0.1994,82,10,1,0.1964,0
37,61696,0.1455,105,4,2,0.3806,1
37,57549,0.843,69,5,1,0.2992,0
31,159835,0.4173,107,8,1,0.4032,0
49,121629,0.1101,92,6,0,0.1575,0
40,73989,0.0987,91,1,2,0.1676,0
45,40851,0.8483,60,4,0,0.5193,1
39,51981,0.6597,76,9,0,0.4829,1
65,59268,0.216,0,5,1,0.0618,0
35,107614,0.385,13,4,0,0.1318,0
48,46814,0.1475,45,4,0,0.3786,1
41,212009,0.2057,102,7,1,0.5816,0
24,122425,0.242,114,4,1,0.5268,0
43,106975,0.3739,88,4,0,0.4171,0
43,38869,0.2325,63,4,1,0.3865,0
50,137128,0.2665,80,4,0,0.4991,0
34,78057,0.2377,99,4,1,0.2455,0
66,61036,0.2409,42,5,0,0.3362,0
31,50543,0.1893,120,8,0,0.2769,0
37,41008,0.353,61,5,1,0.509,1
29,74847,0.1901,54,5,0,0.0543,0
38,127821,0.249,88,9,0,0.1174,0
67,75995,0.3627,67,8,0,0.3688,0
36,140361,0.7072,89,4,0,0.6804,0
29,68932,0.1755,35,4,0,0.3223,1
29,81108,0.391,89,3,0,0.4282,1
29,59311,0.2609,82,3,2,0.5573,0
26,108366,0.4447,98,7,0,0.417,0
24,175973,0.0417,146,1,1,0.6203,0
42,32294,0.4206,66,4,1,0.1271,1
56,37978,0.3903,67,7,0,0.3057,1
38,85747,0.2943,47,6,0,0.3276,0
39,47977,0.4013,83,5,0,0.5684,0
31,92231,0.2443,65,8,0,0.2589,0
32,137218,0.2215,65,3,1,0.4877,0
44,112348,0.5394,5,5,0,0.6271,1
36,46040,0.2374,2,1,0,0.4393,1
35,227759,0.6906,102,5,0,0.1498,0
39,84963,0.6648,78,5,0,0.3282,0
35,97715,0.1604,84,7,0,0.0273,0
35,61674,0.2346,0,4,1,0.6349,1
33,54541,0.4833,16,7,2,0.2436,1
42,143149,0.3082,118,1,0,0.3925,0
24,54106,0.3761,34,4,0,0.1616,0
40,51320,0.3902,115,3,0,0.6106,0
36,92025,0.1661,90,3,0,0.0893,0
28,95527,0.3012,93,5,1,0.2655,0
42,92058,0.2924,145,8,1,0.1501,0
46,30000,0.3226,110,2,0,0.328,0
25,65068,0.2413,52,6,0,0.409,0
39,91686,0.1802,77,3,0,0.6876,0
49,30854,0.1482,76,5,0,0.2388,0
21,88800,0.1616,23,4,1,0.3261,0
55,76654,0.2395,108,3,1,0.1592,0
35,50530,0.1068,76,4,0,0.1223,0
48,88284,0.1737,73,3,1,0.2517,1
31,64743,0.1699,62,2,0,0.5485,0
21,62428,0.5511,41,2,0,0.5277,1
24,104732,0.6573,93,2,2,0.1328,0
50,37422,0.2533,95,4,0,0.2602,0
32,45710,0.1803,53,3,0,0.2458,0
24,53433,0.554,121,3,1,0.4041,1
